id,latitude,longitude,name,display_name,zone,total_lines,rail
78,41.373333333333,2.1338888888889,"Mercat Nou",NULL,Barcelona,1,0
79,41.357777777778,2.0344444444444,"Molí Nou-Ciutat Cooperativa",NULL,"Sant Boi de Llobregat",1,0
80,41.43,2.1447222222222,Montbau,NULL,Barcelona,1,0
81,41.4,2.1811111111111,Monumental,NULL,Barcelona,1,0
82,41.435277777778,2.1491666666667,Mundet,NULL,Barcelona,1,0
83,41.398611111111,2.1427777777778,Muntaner,NULL,Barcelona,1,0
84,41.415555555556,2.1869444444444,Navas,NULL,Barcelona,1,0
85,41.429730555556,2.1936166666667,"Onze de Setembre",NULL,Barcelona,2,0
86,41.386111111111,2.1186111111111,"Palau Reial",NULL,Barcelona,1,0
87,41.374722222222,2.1686111111111,Paral·lel,NULL,Barcelona,2,0
88,41.375,2.1686111111111,"Parc de Montjuïc",NULL,Barcelona,1,0
89,41.39,2.1677777777778,"Passeig de Gràcia",NULL,Barcelona,3,0
90,41.417222222222,2.1411111111111,Penitents,NULL,Barcelona,1,0
91,41.444166666667,2.2380555555556,"Pep Ventura",NULL,Badalona,1,0
92,41.375277777778,2.1363888888889,"Plaça de Sants",NULL,Barcelona,2,0
93,41.381944444444,2.1358333333333,"Plaça del Centre",NULL,Barcelona,1,0
94,41.401388888889,2.1475,"Plaça Molina",NULL,Barcelona,1,0
95,41.374722222222,2.1602777777778,"Poble Sec",NULL,Barcelona,1,0
96,41.403055555556,2.2027777777778,Poblenou,NULL,Barcelona,1,0
97,41.394722222222,2.1597222222222,Provença,NULL,Barcelona,2,0
98,41.373055555556,2.1061111111111,"Pubilla Cases",NULL,"L'Hospitalet de Llobregat",1,0
99,41.403333333333,2.1427777777778,Pàdua,NULL,Barcelona,1,0
100,41.363333333333,2.1,"Rambla Just Oliveras",NULL,"L'Hospitalet de Llobregat",1,0
101,41.399091666667,2.1192777777778,"Reina Elisenda",NULL,Barcelona,1,0
102,41.378888888889,2.1544444444444,Rocafort,NULL,Barcelona,1,0
103,41.446666666667,2.1755555555556,Roquetes,NULL,Barcelona,1,0
104,41.404527777778,2.1744916666667,"Sagrada Família",NULL,Barcelona,2,0
105,41.4225,2.1869444444444,Sagrera,NULL,Barcelona,5,0
106,41.435555555556,2.1913888888889,"Sant Andreu",NULL,Barcelona,1,0
107,41.378888888889,2.1630555555556,"Sant Antoni",NULL,Barcelona,1,0
108,41.348055555556,2.0433333333333,"Sant Boi",NULL,"Sant Boi de Llobregat",1,0
109,41.401111111111,2.1472222222222,"Sant Gervasi",NULL,Barcelona,1,0
110,41.363333333333,2.0841666666667,"Sant Ildefons",NULL,"Cornellà de Llobregat",1,0
111,41.360555555556,2.1105555555556,"Sant Josep",NULL,"Cornellà de Llobregat",1,0
112,41.4175,2.1983333333333,"Sant Martí",NULL,Barcelona,1,0
113,41.411111111111,2.1761111111111,"Sant Pau – Dos de Maig",NULL,Barcelona,1,0
114,41.435,2.2280555555556,"Sant Roc",NULL,Badalona,1,0
115,41.451111111111,2.2075,"Santa Coloma",NULL,"Santa Coloma de Gramenet",1,0
116,41.368611111111,2.1275,"Santa Eulàlia",NULL,"L'Hospitalet de Llobregat",1,0
117,41.446666666667,2.2158333333333,"Santa Rosa",NULL,"Santa Coloma de Gramenet",1,0
118,41.379635,2.139746,"Sants Estació",NULL,Barcelona,2,0
119,41.398611111111,2.1252777777778,Sarrià,NULL,Barcelona,1,0
120,41.408333333333,2.2097222222222,"Selva de Mar",NULL,Barcelona,1,0
121,41.459444444444,2.2055555555556,Singuerlín,NULL,"Santa Coloma de Gramenet",1,0
122,41.395,2.1761111111111,Tetuan,NULL,Barcelona,1,0
123,41.441944444444,2.1905555555556,"Torras i Bages",NULL,Barcelona,1,0
124,41.368611111111,2.1161111111111,Torrassa,NULL,"L'Hospitalet de Llobregat",1,0
125,41.458333333333,2.18,"Torre Baró-Vallbona",NULL,Barcelona,1,0
126,41.448888888889,2.1825,"Trinitat Nova",NULL,Barcelona,3,0
127,41.448888888889,2.1936111111111,"Trinitat Vella",NULL,Barcelona,1,0
128,41.385516666667,2.1637777777778,Universitat,NULL,Barcelona,2,0
129,41.389166666667,2.1733333333333,Urquinaona,NULL,Barcelona,2,0
130,41.424722222222,2.1416666666667,"Vall d'Hebron",NULL,Barcelona,2,0
131,41.438055555556,2.1566666666667,Valldaura,NULL,Barcelona,1,0
132,41.399722222222,2.1683333333333,Verdaguer,NULL,Barcelona,2,0
133,41.43,2.21,Verneda,NULL,"Sant Adrià de Besòs",1,0
134,41.443883333333,2.178675,"Via Júlia",NULL,Barcelona,1,0
135,41.430277777778,2.1680555555556,Vilapicina,NULL,Barcelona,1,0
136,41.430277777778,2.1747222222222,"Virrei Amat",NULL,Barcelona,1,0
137,41.383888888889,2.1119444444444,"Zona Universitària",NULL,Barcelona,1,0
138,41.382222222222,2.1588888888889,Urgell,NULL,,1,0
139,41.413611111111,2.1938888888889,"Bac de Roda",NULL,,1,0
140,41.378333333333,2.145,Tarragona,NULL,,1,0
141,41.411388888889,2.1447222222222,Vallcarca,NULL,,1,0
