station,name,lon,lat,trafic,main,ratpId,ratpx,ratpy,corr
0,Abbesses,2.33868777751922,48.8848485176301,2545127,381,1975,3933,2208,0
1,Alésia,2.32680290937423,48.8282176767106,5317934,382,1981,3942,6387,0
2,Alexandre Dumas,2.39479,48.855907,3926266,383,1978,6230,4281,0
3,Alma — Marceau,2.300234,48.864904,4080301,384,1980,2166,4057,0
